Ficheiro;Configuracao;MBF;Melhor_Run
tourism_100.txt;TrepaColinas_Swap1_1000_Iter;689.7489;691.1900
tourism_100.txt;TrepaColinas_Swap1_5000_Iter;691.9740;692.0101
tourism_100.txt;TrepaColinas_Swap1_50000_Iter;692.0101;692.0101
tourism_100.txt;TrepaColinas_Swap2_100_Iter;634.2469;651.1136
tourism_100.txt;TrepaColinas_Swap2_1000_Iter;677.9579;688.6365
tourism_100.txt;TrepaColinas_Swap2_5000_Iter;688.5560;689.5638
tourism_100.txt;TrepaColinas_Swap2_50000_Iter;691.3342;692.0101
tourism_100.txt;Evolutivo_Torneio_100_Iter;689.5238;691.6845
tourism_100.txt;Evolutivo_Torneio_1000_Iter;691.8787;692.0101
tourism_100.txt;Evolutivo_Torneio_5000_Iter;692.0101;692.0101
tourism_100.txt;Evolutivo_Torneio_50000_Iter;692.0101;692.0101
tourism_100.txt;Evolutivo_Roleta_100_Iter;670.1415;677.2793
tourism_100.txt;Evolutivo_Roleta_1000_Iter;691.7191;692.0101
tourism_100.txt;Evolutivo_Roleta_5000_Iter;692.0101;692.0101
tourism_100.txt;Evolutivo_Roleta_50000_Iter;692.0101;692.0101
tourism_100.txt;Hibrido_Sequencial_100_Iter;687.8223;690.6453
tourism_100.txt;Hibrido_Sequencial_1000_Iter;691.5319;692.0101
tourism_100.txt;Hibrido_Sequencial_5000_Iter;691.9332;692.0101
tourism_100.txt;Hibrido_Sequencial_50000_Iter;692.0101;692.0101
tourism_100.txt;Hibrido_Memetico_100_Iter;689.9880;691.9321
tourism_100.txt;Hibrido_Memetico_1000_Iter;692.0101;692.0101
tourism_100.txt;Hibrido_Memetico_5000_Iter;692.0101;692.0101
tourism_100.txt;Hibrido_Memetico_50000_Iter;692.0101;692.0101
tourism_250.txt;TrepaColinas_Swap1_100_Iter;1571.9148;1638.1909
tourism_250.txt;TrepaColinas_Swap1_1000_Iter;1784.7416;1790.1504
tourism_250.txt;TrepaColinas_Swap1_5000_Iter;1803.7172;1805.3682
tourism_250.txt;TrepaColinas_Swap1_50000_Iter;1805.4828;1805.4828
tourism_250.txt;TrepaColinas_Swap2_100_Iter;1594.5584;1640.6989
tourism_250.txt;TrepaColinas_Swap2_1000_Iter;1753.4598;1764.0595
tourism_250.txt;TrepaColinas_Swap2_5000_Iter;1784.9013;1790.3500
tourism_250.txt;TrepaColinas_Swap2_50000_Iter;1801.2251;1802.8626
tourism_250.txt;Evolutivo_Torneio_100_Iter;1753.5827;1769.2168
tourism_250.txt;Evolutivo_Torneio_1000_Iter;1797.4814;1803.1625
tourism_250.txt;Evolutivo_Torneio_5000_Iter;1804.9089;1805.4828
tourism_250.txt;Evolutivo_Torneio_50000_Iter;1805.4828;1805.4828
tourism_250.txt;Evolutivo_Roleta_100_Iter;1617.0509;1651.7839
tourism_250.txt;Evolutivo_Roleta_1000_Iter;1763.2656;1779.9159
tourism_250.txt;Evolutivo_Roleta_5000_Iter;1804.9135;1805.4828
tourism_250.txt;Evolutivo_Roleta_50000_Iter;1805.4828;1805.4828
tourism_250.txt;Hibrido_Sequencial_100_Iter;1746.3395;1757.1774
tourism_250.txt;Hibrido_Sequencial_1000_Iter;1799.4478;1803.1317
tourism_250.txt;Hibrido_Sequencial_5000_Iter;1805.1100;1805.4828
tourism_250.txt;Hibrido_Sequencial_50000_Iter;1805.4828;1805.4828
tourism_250.txt;Hibrido_Memetico_100_Iter;1761.5417;1772.3189
tourism_250.txt;Hibrido_Memetico_1000_Iter;1802.6909;1805.4196
tourism_250.txt;Hibrido_Memetico_5000_Iter;1805.4828;1805.4828
tourism_250.txt;Hibrido_Memetico_50000_Iter;1805.4828;1805.4828
tourism_500.txt;TrepaColinas_Swap1_100_Iter;2992.3620;3056.6706
tourism_500.txt;TrepaColinas_Swap1_1000_Iter;3515.2750;3541.1450
tourism_500.txt;TrepaColinas_Swap1_5000_Iter;3605.9461;3608.6322
tourism_500.txt;TrepaColinas_Swap1_50000_Iter;3613.1887;3613.3962
tourism_500.txt;TrepaColinas_Swap2_100_Iter;3042.3400;3140.3572
tourism_500.txt;TrepaColinas_Swap2_1000_Iter;3442.8898;3468.3939
tourism_500.txt;TrepaColinas_Swap2_5000_Iter;3562.5532;3570.9250
tourism_500.txt;TrepaColinas_Swap2_50000_Iter;3601.9536;3605.8317
tourism_500.txt;Evolutivo_Torneio_100_Iter;3385.4487;3432.2610
